condition,severity,f1,roc_auc,pr_auc,apcer,bpcer,acer,accuracy
clean,-,0.8533333333333334,0.9570332905190543,0.9815307216974968,0.24535762197274588,0.03384929409763565,0.13960345803519075,0.8166849615806806
jpeg,90,0.8535153910647982,0.9567957036365067,0.9814427431516215,0.24528701546282566,0.03316890627657765,0.13922796086970166,0.8169344376808702
jpeg,70,0.8274846625766871,0.9506764167303103,0.9789588667995084,0.28574454564710866,0.02908657935022963,0.15741556249866914,0.7895419618800519
jpeg,50,0.8062002583440977,0.9461052126832254,0.9770066203911174,0.3169526230318435,0.027555706752849123,0.17225416489234632,0.7679373316036324
jpeg,30,0.7747377435238707,0.9393281466912875,0.9741342388302949,0.3612229047518181,0.02466405851335261,0.19294348163258537,0.7375012473805009
resize,75,0.8559885931558935,0.9466077090899376,0.9769063416233108,0.23702605380216055,0.047457050518795715,0.14224155216047812,0.8185809799421215
resize,50,0.851857720034857,0.9391809827400531,0.9736899479208629,0.24076819882793193,0.05613199523728525,0.14845009703260859,0.8133918770581778
resize,25,0.8239029095000804,0.9153331446089421,0.9630040602959378,0.2762126668078797,0.07994556897431536,0.17807911789109754,0.7813591457938329
blur,light,0.8554178582777248,0.9501023710324177,0.9784118288216199,0.23970910117912872,0.04167375403980269,0.1406914276094657,0.8183813990619698
blur,medium,0.8403099536667199,0.9319325441329418,0.9705135342287696,0.25729012214926217,0.060214322163633274,0.15875222215644771,0.8005189102883944
blur,strong,0.81098847589677,0.9094931791697418,0.9600800013014084,0.29442914636729506,0.08300731416907638,0.1887182302681857,0.767588065063367
noise,low,0.8535504729972458,0.9571387258908164,0.9815887926638258,0.24507519593306504,0.03367919714237115,0.1393771965377181,0.8169344376808702
noise,medium,0.8525061955392118,0.9573750096935327,0.9817683000955515,0.24705217821083103,0.032488518455519644,0.13977034833317534,0.8158866380600739
noise,high,0.8373093151574165,0.9542342690371286,0.9805905043907882,0.2714114241333051,0.028236094573907126,0.14982375935360612,0.7999201676479393
brightness,dark,0.8538719001977788,0.900678937018813,0.953321361874787,0.20744192614559062,0.15376764755910868,0.18060478685234965,0.8083025646143099
brightness,normal,0.8533333333333334,0.9570332905190543,0.9815307216974968,0.24535762197274588,0.03384929409763565,0.13960345803519075,0.8166849615806806
brightness,bright,0.7088619023971829,0.9208162643386673,0.9653061703594689,0.44566829061639485,0.023303282871236605,0.23448578674381573,0.6782257259754515
