condition,severity,f1,roc_auc,pr_auc,apcer,bpcer,acer,accuracy
clean,-,0.8686062881276396,0.9502693033652355,0.9784912896325331,0.21584410082609617,0.05153937744514373,0.13369173913561996,0.8323520606725876
jpeg,90,0.8678019181835975,0.9498247309587521,0.9783216562224829,0.2173974440443409,0.05068889266882123,0.13404316835658106,0.8315038419319429
jpeg,70,0.842210733036752,0.9402065846317263,0.9746037998608046,0.25813740026830473,0.04779724442932472,0.15296732234881472,0.8035625187107075
jpeg,50,0.8223229970993178,0.9329438361663791,0.9716934137127271,0.28941608416295983,0.042524238816125194,0.16597016148954252,0.7830056880550843
jpeg,30,0.7903754094230284,0.9223799000860837,0.9672349949463852,0.33552213514086,0.040823269263480184,0.18817270220217008,0.7509230615707015
resize,75,0.8695719663161162,0.9405737649052067,0.974387832639156,0.20892466285391514,0.06837897601632931,0.13865181943512223,0.8323021654525496
resize,50,0.8665684602263917,0.934968984358082,0.9721098139594382,0.21083103862176092,0.07756421160061235,0.14419762511118664,0.8282606526294781
resize,25,0.8434717809938425,0.9151664584801474,0.963427644247558,0.24076819882793193,0.09882633100867494,0.16979726491830344,0.8008681768286599
blur,light,0.8696970875296497,0.9438733431865384,0.975743794982801,0.21040739956223964,0.06310597040312979,0.13675668498268473,0.8328011176529289
blur,medium,0.8584449984418822,0.9289962729154545,0.9696559099222738,0.22198686718915484,0.08334750807960538,0.1526671876343801,0.8186807703821973
blur,strong,0.8327261207033106,0.9095089422322132,0.9608784977993017,0.25764315469886323,0.09780574927708793,0.1777244519879756,0.7892425905598244
noise,low,0.8696365767878077,0.9504590606125122,0.9785697404315743,0.21436136411777165,0.05102908657935023,0.13269522534856093,0.8335495459534976
noise,medium,0.867175572519084,0.9494487173653113,0.9781878356068873,0.2179622961237026,0.052049668310937235,0.1350059822173199,0.8307055184113362
noise,high,0.8509064885496184,0.9416168412775626,0.9751825828664153,0.2444397373437831,0.04898792311617622,0.14671383022997966,0.8128929248577986
brightness,dark,0.8881181392355276,0.9102847251048609,0.9586149250841399,0.12313775330085434,0.23558428304133355,0.17936101817109396,0.8438778565013472
brightness,normal,0.8686062881276396,0.9502693033652355,0.9784912896325331,0.21584410082609617,0.05153937744514373,0.13369173913561996,0.8323520606725876
brightness,bright,0.7942821628340584,0.9152532604108241,0.9623880790458079,0.3232366024147426,0.06582752168736179,0.1945320620510522,0.7522702325117254
