condition,severity,f1,roc_auc,pr_auc,apcer,bpcer,acer,accuracy
clean,-,0.8164732124416539,0.9513339436070527,0.9790278351408344,0.30219586245851865,0.027725803708113624,0.16496083308331613,0.7783155373715198
jpeg,90,0.8169921149320893,0.9512569177775962,0.9789805507527252,0.3013485843394761,0.028065997618642625,0.16470729097905937,0.778814489571899
jpeg,70,0.7266488413547237,0.9299982212059561,0.9696782820786751,0.42434512462049,0.021092022452798096,0.22271857353664407,0.6939427202873965
jpeg,50,0.6370852060820503,0.9128061425429779,0.9617745281075791,0.5296194309115301,0.015138629018540567,0.2723790299650353,0.6212952799121844
jpeg,30,0.5034450113080524,0.882576762180977,0.9479181657597932,0.6620772435218527,0.010886205136928048,0.3364817243293904,0.5289392276219939
resize,75,0.8188423347057399,0.9182358119797281,0.9629454713047124,0.28383816987926286,0.07960537506378636,0.1817217724715246,0.7760702524698134
resize,50,0.8205593467713305,0.8885612013420833,0.9476165887272631,0.2656216903198475,0.1338663037931621,0.1997439970565048,0.7730266440475002
resize,25,0.8142461708802362,0.8094938180992072,0.9074487707558418,0.22113958907011227,0.32335431195781594,0.2722469505139641,0.7488773575491467
blur,light,0.8184597822985038,0.9307830175478495,0.9693640115959756,0.2912518534208854,0.05579180132675625,0.17352182737382083,0.7778165851711406
blur,medium,0.8219323524950706,0.8495424994802994,0.9270675358012576,0.23476664548471368,0.23320292566763054,0.2339847855761721,0.7656920467019259
blur,strong,0.8176660982145965,0.7680173455418342,0.8861757095653906,0.17058532796723858,0.48018370471168564,0.3253845163394621,0.7385989422213352
noise,low,0.8398852571613268,0.957755484984275,0.9815601327947181,0.266115935889289,0.03299880932131315,0.14955737260530108,0.8022652429897216
noise,medium,0.7964230236365927,0.9370347321937353,0.973253287120093,0.3302972534067641,0.02908657935022963,0.17969191637849685,0.7580580780361241
noise,high,0.5806900666202645,0.8653588801353551,0.94188670130706,0.5876579820659464,0.018880762034359583,0.30326937205015303,0.5791837142001797
brightness,dark,0.8387001148701226,0.8490465785225038,0.9231381020782542,0.20094612723293087,0.25633611158360264,0.22864111940826676,0.7828061071749326
brightness,normal,0.8164732124416539,0.9513339436070527,0.9790278351408344,0.30219586245851865,0.027725803708113624,0.16496083308331613,0.7783155373715198
brightness,bright,0.6389915647805895,0.8694475663314774,0.9423962428285246,0.5239709101179129,0.03350910018710665,0.27874000515250974,0.6198982137511226
