condition,severity,f1,roc_auc,pr_auc,apcer,bpcer,acer,accuracy
clean,-,0.823854269699967,0.9604677705902616,0.9830398326209824,0.2942879333474546,0.018030277258037082,0.15615910530274585,0.7867478295579283
jpeg,90,0.8233790857755245,0.9602815742938596,0.9829600101474043,0.2947821789168961,0.018710665079095083,0.1567464219979956,0.7861989821375113
jpeg,70,0.7250849883700126,0.9495206990147768,0.9778604161692572,0.4277342370966603,0.014968532063276068,0.2213513845799682,0.6933439776469414
jpeg,50,0.6369475601572236,0.9367179697002593,0.9719230687084933,0.5308903480900939,0.009355332539547541,0.27012284031482076,0.6220936034327912
jpeg,30,0.48971127771574413,0.9144542502903135,0.9612139911914603,0.6748570218174116,0.00663378125531553,0.34074540153636357,0.5211555732960782
resize,75,0.8106703479637826,0.9079705514046558,0.9595585279980483,0.29513521146649724,0.08215682939275387,0.18864602042962555,0.7673385889631773
resize,50,0.799087117336901,0.8539376136058926,0.9322941957845408,0.2830614982701405,0.18659635992515733,0.2348289290976489,0.7452350064863786
resize,25,0.7924126015512994,0.7689572203935668,0.8878531884923864,0.23900303607992657,0.3847593128083007,0.3118811744441137,0.7182416924458637
blur,light,0.8154010168935542,0.9303903161256057,0.9699873939269172,0.2979594718633058,0.04796734138458922,0.1729634066239475,0.7753717193892825
blur,medium,0.7956533065386476,0.7911071334949561,0.8972638207125534,0.24521640895290545,0.34325565572376254,0.294236032338334,0.7260253467717792
blur,strong,0.8030704435839957,0.7196402065678178,0.8608661461258881,0.16528983972322248,0.5880251743493792,0.37665750703630085,0.7107075142201377
noise,low,0.8149071419668453,0.9654099080209392,0.9849531347163678,0.307561957212455,0.016839598571185575,0.16220077789182027,0.7777167947310648
noise,medium,0.6298879322783897,0.9337464552775736,0.9699819623260665,0.5376685730424345,0.013607756421160062,0.2756381647317973,0.6160562818082028
noise,high,0.4482158857323565,0.7502987926022584,0.8577429218485808,0.6997811198192473,0.09491410103759143,0.3973476104284194,0.4776469414230117
brightness,dark,0.8175107797997515,0.8089976569423644,0.9082080611559159,0.21019558003247898,0.34308555876849806,0.27664056940048853,0.7508232711306256
brightness,normal,0.823854269699967,0.9604677705902616,0.9830398326209824,0.2942879333474546,0.018030277258037082,0.15615910530274585,0.7867478295579283
brightness,bright,0.5806483348910424,0.8577748474294684,0.9299473631893704,0.5832803784508932,0.0449055961898282,0.31409298732036073,0.5746432491767288
