condition,severity,f1,roc_auc,pr_auc,apcer,bpcer,acer,accuracy
clean,-,0.8430794099818145,0.9609742663111097,0.9833039245317599,0.2635034950222411,0.025684640244939615,0.14459406763359034,0.8062568605927553
jpeg,90,0.8433131313131313,0.9607888746815155,0.9832176669048367,0.26315046247263996,0.025684640244939615,0.14441755135878978,0.8065063366929448
jpeg,70,0.7630107899640335,0.9478443558694444,0.9774023253364988,0.3783802866624303,0.018710665079095083,0.19854547587076268,0.7271230416126135
jpeg,50,0.6799796135847658,0.9354397384607087,0.9716519168308242,0.48188943020546493,0.013947950331689062,0.247918690268577,0.6553737151980841
jpeg,30,0.5627810620989339,0.9104574282197874,0.9600184251547549,0.6067923462543247,0.010035720360605545,0.3084140333074651,0.5682566610118751
resize,75,0.8646254867526915,0.9176883262914778,0.9638669066452975,0.20045188166348937,0.12025854737200205,0.1603552145177457,0.8230715497455344
resize,50,0.8575278607327554,0.8754067966025815,0.942397538636903,0.168749558709313,0.2588875659125702,0.2138185623109416,0.8048098992116556
resize,25,0.8355534357646578,0.813243463340227,0.9141809575463358,0.1341523688484078,0.49787378805919374,0.3160130784538008,0.7591557728769583
blur,light,0.8608277640989564,0.9349466158218127,0.9720060180041681,0.22241050624867612,0.06990984861370982,0.14616017743119297,0.8223231214449656
blur,medium,0.8407718470188102,0.8271305112035021,0.9184038584111278,0.14474334533644,0.43170607246130294,0.2882247088988715,0.7710807304660213
blur,strong,0.8281072667725932,0.7739698021998076,0.8941320697955346,0.09842547482877921,0.6645688042184045,0.3814971395235918,0.7355054385789841
noise,low,0.8348739666897422,0.9650668737566772,0.9844677885096197,0.2762126668078797,0.02432386460282361,0.15026826570535165,0.7976748827462329
noise,medium,0.6904794489302495,0.9109514996449197,0.9594417248095566,0.46564993292381557,0.03231842150025514,0.24898417721203536,0.6614609320427103
noise,high,0.46585013638551637,0.7843170547196369,0.8995836884882406,0.6925086492974653,0.030447354992345636,0.36147800214490544,0.5016964374812893
brightness,dark,0.8398857895892818,0.8462237773349068,0.9258039566760764,0.1900021181952976,0.2862731757101548,0.2381376469527262,0.7817583075541363
brightness,normal,0.8430794099818145,0.9609742663111097,0.9833039245317599,0.2635034950222411,0.025684640244939615,0.14459406763359034,0.8062568605927553
brightness,bright,0.6240489975596919,0.864513625693285,0.9387612421174082,0.5395749488102803,0.03657084538186767,0.288072897096074,0.6079732561620597
