condition,severity,f1,roc_auc,pr_auc,apcer,bpcer,acer,accuracy
clean,-,0.8810617264731065,0.9639887103085036,0.9846490966154648,0.20080491421309044,0.036060554516074164,0.11843273436458229,0.8475202075641154
jpeg,90,0.8805232218631993,0.9637630613186012,0.984567973583,0.2015109793122926,0.03657084538186767,0.11904091234708013,0.8468715697036224
jpeg,70,0.8628010139416984,0.9576043937786188,0.9821837690364801,0.2309538939490221,0.032828712366048646,0.1318913031575354,0.8271629577886438
jpeg,50,0.8450511395667231,0.9535373194917671,0.9805374568953995,0.2591258914071877,0.030277258037081135,0.14470157472213444,0.8080031932940824
jpeg,30,0.8159582833257459,0.9463751003326434,0.977591961634375,0.303961025206524,0.02415376764755911,0.16405739642704156,0.7781159564913681
resize,75,0.8792763539371449,0.9521241444275076,0.9796290660420424,0.19699216267739886,0.056642286103078754,0.1268172243902388,0.8441772278215747
resize,50,0.8737676396675044,0.9444575553091035,0.9763717810495516,0.20214643790157452,0.06837897601632931,0.13526270695895193,0.83709210657619
resize,25,0.8653343581860108,0.9215161803422613,0.9671277432359688,0.20511191131822354,0.10188807620343596,0.15349999376082973,0.8251671489871271
blur,light,0.8798388034254272,0.9556682693587794,0.9811302653175829,0.19840429287580316,0.04949821398196972,0.12395125342888644,0.8452749226624089
blur,medium,0.8630190446456447,0.9373866358078148,0.973506108164905,0.2193038198121867,0.06871916992685831,0.1440114948695225,0.8248677776668996
blur,strong,0.8444426945942753,0.9137104078859652,0.9639614065656452,0.24281578761561817,0.08708964109542439,0.16495271435552128,0.8028639856301766
noise,low,0.8818775256450109,0.9641396934245883,0.9847072071496588,0.19875732542540422,0.03827181493451267,0.11851457017995845,0.8483185310847221
noise,medium,0.8839500426654255,0.963431214324962,0.9844365864063451,0.19543881945915414,0.03810171797924817,0.11677026871920115,0.8507135016465422
noise,high,0.869903676036957,0.9563712298852965,0.9817777978138585,0.21888018075266538,0.03555026365028066,0.12721522220147302,0.8348967168945215
brightness,dark,0.9024609544107363,0.927034819506089,0.9670795352276051,0.04328179058109158,0.39394454839258375,0.21861316948683768,0.8538569005089313
brightness,normal,0.8810617264731065,0.9639887103085036,0.9846490966154648,0.20080491421309044,0.036060554516074164,0.11843273436458229,0.8475202075641154
brightness,bright,0.7688029434414306,0.925956710102701,0.9678408547665875,0.3656005083668714,0.03844191188977717,0.2020212101283243,0.7303662309150784
