condition,severity,f1,roc_auc,pr_auc,apcer,bpcer,acer,accuracy
clean,-,0.8655672561096761,0.9747406201581503,0.989270243518499,0.23102450045894232,0.018880762034359583,0.12495263124665096,0.8312044706117154
jpeg,90,0.864733723103846,0.9745433266657679,0.9891731426580457,0.2324366306573466,0.018540568123830585,0.1254885993905886,0.8303063566510328
jpeg,70,0.763348829126298,0.9623991630888717,0.9837791014091383,0.37972181035091435,0.011736689913250553,0.19572925013208245,0.7282207364534478
jpeg,50,0.6454900466711115,0.943408245771473,0.9753106709045918,0.5214996822707053,0.009865623405341044,0.26568265283802317,0.6285799820377208
jpeg,30,0.4780116771117896,0.9113929134339327,0.9605011206395745,0.6849537527360022,0.007484266031638034,0.3462190093838201,0.5137710807304661
resize,75,0.8881058589796453,0.9414080302408678,0.9737262797425328,0.16359528348513733,0.11362476611668651,0.13861002480091192,0.8510627681868077
resize,50,0.8830509686182,0.9037154192787863,0.9558824774944004,0.1277977829555885,0.24868174859670011,0.18823976577614432,0.8367428400359246
resize,25,0.8580507057328249,0.8365428009421134,0.9229456024808961,0.09433029725340676,0.4946419459091682,0.2944861215812875,0.788244686159066
blur,light,0.8881498470948013,0.9557430553321203,0.9804057324364354,0.17976417425686647,0.06463684300051029,0.12220050862868838,0.854006586169045
blur,medium,0.8704828475450442,0.860702897834566,0.9346874033561112,0.09433029725340676,0.4220105460112264,0.25817042163231657,0.8095499451152579
blur,strong,0.8469959430742482,0.8005715704467115,0.9042519742093685,0.07131257501941679,0.6365028065997619,0.35390769080958934,0.7628979143798024
noise,low,0.7807073954983923,0.9736270633803739,0.9885067374680432,0.35712772717644564,0.009695526450076543,0.1834116268132611,0.7447859495060373
noise,medium,0.3779176201372998,0.8894064677941057,0.9528964136122029,0.766786697733531,0.0023813573737030106,0.38458402755361704,0.45743937730765394
noise,high,0.14601596231846134,0.7840177546968912,0.9007570851430937,0.9212031349290405,0.0011906786868515053,0.461196906807946,0.3486677976249875
brightness,dark,0.8691725144167304,0.8672483699101836,0.9356226000238136,0.11671256089811481,0.3594148664738901,0.23806371368600246,0.8120946013371919
brightness,normal,0.8655672561096761,0.9747406201581503,0.989270243518499,0.23102450045894232,0.018880762034359583,0.12495263124665096,0.8312044706117154
brightness,bright,0.6678764191327006,0.9104028790161716,0.9596072759992735,0.4932570783026195,0.025854737200204116,0.2595559077514118,0.6438479193693244
