condition,severity,f1,roc_auc,pr_auc,apcer,bpcer,acer,accuracy
clean,-,0.8415375327027571,0.9534933750760846,0.9799184686749457,0.2618795452940761,0.03878210580030617,0.15033082554719113,0.8035625187107075
jpeg,90,0.8411094561410571,0.9531894872515377,0.9798141993171807,0.26237379086351764,0.039292396666099676,0.15083309376480866,0.8030635665103283
jpeg,70,0.8139736548705455,0.9434499563360166,0.976039956301987,0.30410223822636445,0.03367919714237115,0.1688907176843678,0.7752220337291688
jpeg,50,0.7901797013414326,0.9352806846566385,0.9728367921607186,0.33869942808726966,0.030107161081816637,0.18440329458454316,0.7518211755313841
jpeg,30,0.7583217753120666,0.9254376039318757,0.9687734307243195,0.3823342512179623,0.02738560979758462,0.20485993050777346,0.721784253068556
resize,75,0.8542284426521172,0.9441311728437874,0.9759093493682907,0.2372378733319212,0.05562170437149175,0.1464297888517065,0.8160363237201876
resize,50,0.8585985264147986,0.9382455455657173,0.9734338932141695,0.22657629033396878,0.0678686851505358,0.1472224877422523,0.8199780461031834
resize,25,0.844908493664946,0.9154272365807008,0.9637811118588874,0.2372378733319212,0.10307875489028746,0.17015831411110433,0.8021155573296078
blur,light,0.8498328823810282,0.9470381938223039,0.9771352824523072,0.24599308056202782,0.04932811702670522,0.14766059879436652,0.8116954395768885
blur,medium,0.8540392156862745,0.931997596039896,0.9708274819466975,0.23116571347878273,0.07620343595849634,0.15368457471863953,0.8142899910188603
blur,strong,0.8382231648403441,0.9097402779345577,0.9612532818004642,0.24655793264138953,0.10665079095084198,0.17660436179611577,0.794481588663806
noise,low,0.843501326259947,0.9534409936688694,0.9799152451858982,0.25905528489726753,0.03827181493451267,0.1486635499158901,0.8057080131723381
noise,medium,0.8427146992602123,0.9516514086827417,0.9792654288717569,0.26004377603615053,0.038952202755570674,0.1494979893958606,0.8048098992116556
noise,high,0.8209120334330315,0.9436655830206753,0.9761377964399613,0.2926639836192897,0.03844191188977717,0.16555294775453344,0.7819079932142501
brightness,dark,0.8778180205484515,0.9093128377251147,0.9581067457644993,0.1614770881875309,0.17332879741452628,0.16740294280102858,0.8350464025546352
brightness,normal,0.8415375327027571,0.9534933750760846,0.9799184686749457,0.2618795452940761,0.03878210580030617,0.15033082554719113,0.8035625187107075
brightness,bright,0.7607456610242126,0.9127986783575867,0.9616376834266982,0.3732966179481748,0.050348698758292225,0.21182265835323352,0.7214349865282906
