2026-08-31 09:09:52 | INFO | ===== BẮT ĐẦU E01_baseline_seed123 (training_mode=clean) =====
2026-08-31 09:09:52 | INFO | seed=123
2026-08-31 09:09:52 | INFO | device=cpu
2026-08-31 09:09:52 | INFO | dataset root: C:\Users\Zander Truong\AppData\Local\Temp\pytest-of-Zander Truong\pytest-19\test_ablation_end_to_end_singl0\dataset
2026-08-31 09:09:52 | INFO | samples: total=36, bona_fide=18, spoof=18, spoof_ratio=0.5000 (mục 15)
2026-08-31 09:09:52 | INFO | tạo splits mới (subject_disjoint) và lưu: C:\Users\Zander Truong\AppData\Local\Temp\pytest-of-Zander Truong\pytest-19\test_ablation_end_to_end_singl0\splits\celeba_spoof_seed123_subject_disjoint.json
2026-08-31 09:09:52 | INFO | split train: 28 mẫu
2026-08-31 09:09:52 | INFO | split val: 4 mẫu
2026-08-31 09:09:52 | INFO | split test: 4 mẫu
2026-08-31 09:09:52 | INFO | model=custom_cnn, params=224449, size=0.86 MB
2026-08-31 09:09:53 | INFO | epoch 1/1: train_loss=0.6237 | val_loss=0.2977 (checkpoint đã lưu)
2026-08-31 09:09:53 | INFO | hoàn tất huấn luyện 1 epoch, checkpoint: C:\Users\Zander Truong\AppData\Local\Temp\pytest-of-Zander Truong\pytest-19\test_ablation_end_to_end_singl0\checkpoints\E01_baseline_seed123.pt
2026-08-31 09:09:53 | INFO | epoch cuối: train_loss=0.6237, val_loss=0.2976541221141815
2026-08-31 09:09:53 | INFO | clean test: f1=1.0000, roc_auc=1.0
2026-08-31 09:09:53 | INFO | kết quả đã lưu: C:\Users\Zander Truong\AppData\Local\Temp\pytest-of-Zander Truong\pytest-19\test_ablation_end_to_end_singl0\results\E01_baseline_seed123.json (runtime=0.33s)
2026-08-31 09:09:53 | INFO | ===== BẮT ĐẦU E01_baseline_seed123 (training_mode=clean) =====
2026-08-31 09:09:53 | INFO | seed=123
2026-08-31 09:09:53 | INFO | device=cpu
2026-08-31 09:09:53 | INFO | dataset root: C:\Users\Zander Truong\AppData\Local\Temp\pytest-of-Zander Truong\pytest-19\test_run_all_end_to_end_order0\dataset
2026-08-31 09:09:53 | INFO | samples: total=36, bona_fide=18, spoof=18, spoof_ratio=0.5000 (mục 15)
2026-08-31 09:09:53 | INFO | tạo splits mới (subject_disjoint) và lưu: C:\Users\Zander Truong\AppData\Local\Temp\pytest-of-Zander Truong\pytest-19\test_run_all_end_to_end_order0\splits\celeba_spoof_seed123_subject_disjoint.json
2026-08-31 09:09:53 | INFO | split train: 28 mẫu
2026-08-31 09:09:53 | INFO | split val: 4 mẫu
2026-08-31 09:09:53 | INFO | split test: 4 mẫu
2026-08-31 09:09:53 | INFO | model=custom_cnn, params=224449, size=0.86 MB
2026-08-31 09:09:53 | INFO | epoch 1/1: train_loss=0.6237 | val_loss=0.2977 (checkpoint đã lưu)
2026-08-31 09:09:53 | INFO | hoàn tất huấn luyện 1 epoch, checkpoint: C:\Users\Zander Truong\AppData\Local\Temp\pytest-of-Zander Truong\pytest-19\test_run_all_end_to_end_order0\checkpoints\E01_baseline_seed123.pt
2026-08-31 09:09:53 | INFO | epoch cuối: train_loss=0.6237, val_loss=0.2976541221141815
2026-08-31 09:09:53 | INFO | clean test: f1=1.0000, roc_auc=1.0
2026-08-31 09:09:53 | INFO | kết quả đã lưu: C:\Users\Zander Truong\AppData\Local\Temp\pytest-of-Zander Truong\pytest-19\test_run_all_end_to_end_order0\results\E01_baseline_seed123.json (runtime=0.08s)
2026-08-31 09:09:59 | INFO | ===== BẮT ĐẦU E01_baseline_seed123 (training_mode=clean) =====
2026-08-31 09:09:59 | INFO | seed=123
2026-08-31 09:09:59 | INFO | device=cpu
2026-08-31 09:09:59 | INFO | dataset root: C:\Users\Zander Truong\AppData\Local\Temp\pytest-of-Zander Truong\pytest-19\test_train_robust_reuses_basel0\dataset
2026-08-31 09:09:59 | INFO | samples: total=36, bona_fide=18, spoof=18, spoof_ratio=0.5000 (mục 15)
2026-08-31 09:09:59 | INFO | tạo splits mới (subject_disjoint) và lưu: C:\Users\Zander Truong\AppData\Local\Temp\pytest-of-Zander Truong\pytest-19\test_train_robust_reuses_basel0\splits\celeba_spoof_seed123_subject_disjoint.json
2026-08-31 09:09:59 | INFO | split train: 28 mẫu
2026-08-31 09:09:59 | INFO | split val: 4 mẫu
2026-08-31 09:09:59 | INFO | split test: 4 mẫu
2026-08-31 09:09:59 | INFO | model=custom_cnn, params=224449, size=0.86 MB
2026-08-31 09:09:59 | INFO | epoch 1/1: train_loss=0.6237 | val_loss=0.2977 (checkpoint đã lưu)
